
2022/12/07 (22:44:02) | ===> btop++ v.1.2.13
2022/12/07 (22:44:02) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (00:30:11) | ===> btop++ v.1.2.13
2022/12/08 (00:30:11) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (20:59:57) | ===> btop++ v.1.2.13
2022/12/08 (20:59:57) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (21:09:19) | ===> btop++ v.1.2.13
2022/12/08 (21:09:19) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (21:19:30) | ===> btop++ v.1.2.13
2022/12/08 (21:19:30) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (21:49:02) | ===> btop++ v.1.2.13
2022/12/08 (21:49:02) | WARNING: Failed to join _runner thread on exit!
